,"26 Anatolikis Romilias, Thessaloniki, 54454, Greece","3 Kolchidos, Kalamaria, 55131, Greece","2 Markou Mpotsari, Thessaloniki, 54643, Greece","10 Alonnisou, Thessaloniki, 54638, Greece","7 Dimokratias, Panorama, 55236, Greece","30 Andrea Papandreou, Kalamaria, 55133, Greece","45 Tsimiski, Thessaloniki, 54623, Greece ","3 Aggelon, Pefka, 57010, Greece","46 Steliou Kazantzidi, Thermi, 57001, Greece","55 Egnatia, Thessaloniki, 54631, Greece","15 Nikolaou Plastira, Efkarpia, 56429, Greece ","10 Kolokotroni, Evosmos, 56224, Greece "
"26 Anatolikis Romilias, Thessaloniki, 54454, Greece",0,17,12,5,18,15,14,17,10,14,15,17
"3 Kolchidos, Kalamaria, 55131, Greece",16,0,9,17,19,8,17,24,11,22,22,24
"2 Markou Mpotsari, Thessaloniki, 54643, Greece",11,7,0,10,20,10,10,22,13,12,21,23
"10 Alonnisou, Thessaloniki, 54638, Greece",6,16,10,0,16,14,10,14,12,10,13,15
"7 Dimokratias, Panorama, 55236, Greece",18,20,19,17,0,17,27,21,12,27,20,23
"30 Andrea Papandreou, Kalamaria, 55133, Greece",16,13,13,14,15,0,21,19,9,20,17,20
"45 Tsimiski, Thessaloniki, 54623, Greece ",17,16,10,14,26,19,0,25,23,4,20,15
"3 Aggelon, Pefka, 57010, Greece",19,25,22,15,20,21,21,0,19,22,12,14
"46 Steliou Kazantzidi, Thermi, 57001, Greece",9,11,11,14,12,7,19,17,0,19,15,17
"55 Egnatia, Thessaloniki, 54631, Greece",14,18,12,10,22,21,8,22,19,0,17,15
"15 Nikolaou Plastira, Efkarpia, 56429, Greece ",16,22,19,13,20,18,19,13,16,20,0,8
"10 Kolokotroni, Evosmos, 56224, Greece ",17,23,20,14,21,19,18,14,17,16,8,0
